ID,Genre
670,alternative pop rock
671,finnish pop
672,trova
673,desi trap
674,dembow
675,cumbia
676,speedrun
677,world
678,norwegian indie
679,perreo
680,reggaeton chileno
681,aussietronica
682,classic schlager
683,melbourne bounce
684,rock cristiano
685,finnish hip hop
686,french indietronica
687,experimental pop
688,belgian hip hop
689,classic opm
690,jazz funk
691,tecnobanda
692,japanese soundtrack
693,modern dream pop
694,pinoy r&b
695,czech hip hop
696,indie triste
697,south carolina hip hop
698,trap mexicano
699,albanian hip hop
700,boom bap espanol
701,chutney
702,laiko
703,sunshine pop
704,birmingham metal
705,german soundtrack
706,disco house
707,fvnky rimex
708,acid rock
709,instrumental worship
710,japanese alternative rock
711,scottish rock
712,corridos alternativos
713,nashville sound
714,modern alternative pop
715,rap df
716,velha guarda
717,rap politico
718,post-hardcore
719,cumbia 420
720,british singer-songwriter
721,bossa nova cover
722,social media pop
723,brazilian edm
724,scorecore
725,redneck
726,german baroque
727,detroit trap
728,texas country
729,greek pop
730,british soundtrack
731,swedish metal
732,israeli pop
733,slowcore
734,gaming edm
735,houston rap
736,german romanticism
737,nu jazz
738,panamanian pop
739,new jersey rap
740,epicore
741,r&b brasileiro
742,slowed and reverb
743,czech pop
744,death metal
745,arkansas country
746,chicano rap
747,high vibe
748,swedish trap
749,political hip hop
750,j-rap
751,uk funky
752,albanian pop
753,mexican rock-and-roll
754,black americana
755,ghazal
756,modern southern rock
757,indian singer-songwriter
758,japanese emo
759,indian indie
760,indonesian folk
761,deboxe
762,french synthpop
763,russian dance
764,gothic metal
765,lo-fi cover
766,post-disco
767,greek hip hop
768,rap genovese
769,trap chileno
770,reggaeton mexicano
771,cumbia chilena
772,italian indie pop
773,kentucky indie
774,nyc pop
775,uk alternative hip hop
776,bronx drill
777,italo dance
778,salsa colombiana
779,euphoric hardstyle
780,christian indie
781,canadian punk
782,polish viral pop
783,musica sonorense
784,brill building pop
785,modern blues
786,rawstyle
787,afroswing
788,oakland hip hop
789,hard rock brasileiro
790,grupero romantico
791,phonk
792,modern power pop
793,rap calme
794,rock urbano mexicano
795,british blues
796,hardcore punk
797,anime lo-fi
798,hungarian pop
799,russian alt pop
800,rap belge
801,chicago indie
802,lo-fi sleep
803,german cloud rap
804,cumbia peruana
805,indie game soundtrack
806,spanish new wave
807,stomp and flutter
808,bossbeat
809,minimal techno
810,alternative country
811,gothic symphonic metal
812,banda jalisciense
813,minnesota hip hop
814,latin talent show
815,frauenrap
816,early modern classical
817,asmr
818,acoustic cover
819,afrofuturismo brasileiro
820,zolo
821,nu disco
822,indonesian pop punk
823,afro r&b
824,hi-nrg
825,lo-fi chill
826,anadolu rock
827,duranguense
828,dubstep
829,trancecore
830,dutch trance
831,christian hip hop
832,jazz rap
833,persian pop
834,rock gospel brasileiro
835,pop electronico
836,finnish dance pop
837,supergroup
838,deep groove house
