VST3i: Surge XT (Surge Synth Team) (2->6ch)

ID,Name,Value Current,Value Middle,Value Min,Value Max,Context Current,Context Middle,Context Min,Context Max
260,A Osc 1 Width 1,00.50,00.50,00.00,01.00,50.00 %,50.00 %,0.00 %,100.00 %
261,A Osc 1 Width 2,00.50,00.50,00.00,01.00,50.00 %,50.00 %,0.00 %,100.00 %
262,A Osc 1 Sub Mix,00.00,00.50,00.00,01.00,0.00 %,50.00 %,0.00 %,100.00 %
263,A Osc 1 Sync,00.00,00.50,00.00,01.00,0.00 semitones,30.00 semitones,0.00 semitones,60.00 semitones
264,A Osc 1 Unison Detune,00.10,00.50,00.00,01.00,10.00 cents,50.00 cents,0.00 cents,100.00 cents
265,A Osc 1 Unison Voices,00.00,00.50,00.00,01.00,1 voice,9 voices,1 voice,16 voices
266,A Osc 1 Keytrack,01.00,00.50,00.00,01.00,On,Off,Off,On
267,A Osc 1 Retrigger,00.00,00.50,00.00,01.00,Off,Off,Off,On
268,A Osc 2 Type,00.00,00.50,00.00,01.00,Classic,FM2,Classic,Alias
269,A Osc 2 Octave,00.50,00.50,00.00,01.00,0,0,-3,3
270,A Osc 2 Pitch,00.50,00.50,00.00,01.00,0.00 semitones,0.00 semitones,-7.00 semitones,7.00 semitones
271,A Osc 2 Shape,00.50,00.50,00.00,01.00,0.00 %,0.00 %,-100.00 %,100.00 %
272,A Osc 2 Width 1,00.50,00.50,00.00,01.00,50.00 %,50.00 %,0.00 %,100.00 %
273,A Osc 2 Width 2,00.50,00.50,00.00,01.00,50.00 %,50.00 %,0.00 %,100.00 %
274,A Osc 2 Sub Mix,00.00,00.50,00.00,01.00,0.00 %,50.00 %,0.00 %,100.00 %
275,A Osc 2 Sync,00.00,00.50,00.00,01.00,0.00 semitones,30.00 semitones,0.00 semitones,60.00 semitones
276,A Osc 2 Unison Detune,00.10,00.50,00.00,01.00,10.00 cents,50.00 cents,0.00 cents,100.00 cents
277,A Osc 2 Unison Voices,00.00,00.50,00.00,01.00,1 voice,9 voices,1 voice,16 voices
278,A Osc 2 Keytrack,01.00,00.50,00.00,01.00,On,Off,Off,On
279,A Osc 2 Retrigger,00.00,00.50,00.00,01.00,Off,Off,Off,On
280,A Osc 3 Type,00.00,00.50,00.00,01.00,Classic,FM2,Classic,Alias
281,A Osc 3 Octave,00.50,00.50,00.00,01.00,0,0,-3,3
282,A Osc 3 Pitch,00.50,00.50,00.00,01.00,0.00 semitones,0.00 semitones,-7.00 semitones,7.00 semitones
283,A Osc 3 Shape,00.50,00.50,00.00,01.00,0.00 %,0.00 %,-100.00 %,100.00 %
284,A Osc 3 Width 1,00.50,00.50,00.00,01.00,50.00 %,50.00 %,0.00 %,100.00 %
285,A Osc 3 Width 2,00.50,00.50,00.00,01.00,50.00 %,50.00 %,0.00 %,100.00 %
